package_name,on_cran,install,github_username,description
data.table,TRUE,TRUE,,For combining batches
devtools,TRUE,TRUE,,Important package development functions.
dplyr,TRUE,TRUE,,Data manipulation
knitr,TRUE,TRUE,,For reporting
httr,TRUE,TRUE,hadley,Calling REDCap API
lubridate,TRUE,TRUE,hadley,Manipulating dates
odbc,TRUE,TRUE,,For connecting to ODBC databases
readr,TRUE,TRUE,,Converting CSVs to data.frames
RODBC,TRUE,FALSE,,For connecting to ODBC databases --being phased out by odbc
RODBCext,TRUE,FALSE,,Parameterized queries --being phased out by odbc
roxygen2,TRUE,TRUE,klutometis,Creates documentation Rd file from (well-formed) comments
rmarkdown,TRUE,TRUE,rstudio,Needed for knitr and reports.
stringr,TRUE,TRUE,,Consistent/convenient function signatures for manipulating text
testit,TRUE,TRUE,,has the useful `assert()` function
testthat,FALSE,TRUE,hadley,Heavier testing framework that's good for package development
